Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
1,UNCG Speech and Hearing Center,NC,None,2300,Hacking/IT Incident,Desktop Computer,2014-01-23,Unknown detailed,1997-01-01,Unknown Date,1997,Hacking/IT Incident
2,UMass Memorial Medical Center,MA,None,2387,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",2014-05-27,Unknown detailed,2002-05-06,Unknown Date,2002,Unauthorized Access/Disclosure
3,Riverside Mercy Hospital and Ohio/Mercy Diagnostics,OH,None,1000,Improper Disposal,Paper,2014-01-23,Unknown detailed,2003-03-29,Unknown Date,2003,Improper Disposal
4,Duke University Health System,NC,None,591,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2004-04-21,2012-02-16,2004,Unauthorized Access/Disclosure
5,SW General Inc,AZ,None,566,Theft,Paper,2014-01-23,Unknown detailed,2004-05-01,Unknown Date,2004,Theft
6,Methodist Dallas Medical Center,TX,None,44000,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2005-09-01,2013-08-01,2005,Unauthorized Access/Disclosure
7,Harris County,TX,None,21000,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,Unknown detailed,2005-08-15,2007-06-14,2005,Unauthorized Access/Disclosure
8,"South Shore Physicians, PC",NY,None,8000,Theft,Network Server,2014-01-23,Unknown detailed,2006-01-01,2012-01-12,2006,Theft
9,South Shore Medical Center,MA,"Clearpoint Design, Inc.",4100,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2007-01-01,2012-11-15,2007,Hacking/IT Incident
10,"Group Health Plan, Inc. Medical Benefit Plan",MN,"HealthPartners Administrators, Inc.",796,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,Unknown detailed,2008-01-07,Unknown Date,2008,"Loss, Unauthorized Access/Disclosure"
11,"HealthPartners, Inc.",MN,None,27839,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-06-20,Unknown detailed,2008-01-07,Unknown Date,2008,"Loss, Unauthorized Access/Disclosure"
12,Harris County Hospital District,TX,None,2875,Theft,"Electronic Medical Record, Paper",2014-04-23,Unknown detailed,2008-04-14,2011-02-28,2008,Theft
13,Duke University Health System,NC,None,1370,Unauthorized Access/Disclosure,Other,2014-04-23,Unknown detailed,2008-07-01,2011-11-30,2008,Unauthorized Access/Disclosure
14,Jackson Health System,FL,None,1562,Unauthorized Access/Disclosure,"Other, Electronic Medical Record",2014-01-23,Unknown detailed,2008-10-01,Unknown Date,2008,Unauthorized Access/Disclosure
15,State Employee Group Insurance Plan,MN,"HealthPartners Administrators, Inc.",1699,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,Unknown detailed,2008-01-07,Unknown Date,2008,"Loss, Unauthorized Access/Disclosure"
16,University of Minnesota Employee Benefits,MN,"HealthPartners Administrators, Inc.",715,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,Unknown detailed,2008-01-07,Unknown Date,2008,"Loss, Unauthorized Access/Disclosure"
17,OhioHealth Corporation dba Grant Medical Center,OH,None,501,Theft,"Laptop, Desktop Computer",2014-01-23,Unknown detailed,2008-01-01,Unknown Date,2008,Theft
18,"Triple-S Salud, Inc.",PR,"Triple-C, Inc.",8000,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-24,Unknown detailed,2008-10-03,Unknown Date,2008,"Theft, Unauthorized Access/Disclosure"
19,Iowa Dept. of Human Services,IA,None,2042,Other,"Laptop, E-mail, Other Portable Electronic Device",2014-04-21,Unknown detailed,2008-12-01,Unknown Date,2008,Other
20,Pinnacle Health System,PA,"Gair Medical Transcription Services, Inc.",1085,Unauthorized Access/Disclosure,Network Server,2014-01-23,"Pinnacle Health Systems was notified that a business associate, a medical transcription service, had a server compromised in which reports of Pinnacle patients could be viewed online.  The server compromise involved the protected health information of 1085 individuals.  The protected health information involved in the breach included names, Medicaid ID numbers, dates of birth, and primary physicians.  In response to this incident, the covered entity took steps to enforce the requirements of the Privacy & Security Rules.  The covered entity immediately discontinued its relationship with the business associate and engaged another medical transcription service.  The covered entity also contracted with forensic consultants to ensure that the cause of the compromise was found that that all traces of breached medical reports were removed from online and inaccessible in the future.  

",2008-10-01,Unknown Date,2008,Unauthorized Access/Disclosure
21,"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",KY,None,708,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2008-10-01,Unknown Date,2008,Hacking/IT Incident
22,Puerto Rico Department of Health,PR,"Triple-S Management, Corp.; Triple-S Salud, Inc.; ",475000,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,Unknown detailed,2008-10-03,Unknown Date,2008,"Unauthorized Access/Disclosure, Hacking/IT Incident"
23,University Medical Center of Southern Nevada,NV,None,5103,Theft,Paper,2014-01-23,"Between the dates of July 31, 2009 and November 19, 2009, a former UMC volunteer faxed patient face sheets to an attorney who used the sheets to contact prospective clients.  Although UMC only had proof of two disclosures, it chose to notify all 5,301 individuals that could have been affected by the breach.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, and diagnoses.  Following the breach, UMC conducted an internal investigation, notified all 5,301 individuals, notified the media, and notified the Secretary.  Additionally, UMC reformulated face sheets so that they no longer include full social security numbers and provided all possible affected individuals with a year of free credit monitoring.  As a result of this breach, at least one person has been indicted on one count of conspiracy to illegally disclose personal health information in violation of the HIPAA

",2009-10-31,Unknown Date,2009,Theft
24,Brown University,RI,Blue Cross Blue Shield of RI,528,Other,Paper,2014-01-23,"On January 5, 2010, BCBSRI was notified that a 16 page report pertaining to Brown University's health plan was impermissibly disclosed to two other BCBSRI agents.  The reports contained the PHI of approximately 528 individuals.  The PHI involved: first and last names, dates of service, cost of medical care provided, and member identification numbers.  Following the breach, BCBSRI recovered the reports, received written assurances that any electronic copies of the reports were deleted, notified affected individuals of the breach, implemented new procedure for all outgoing correspondence, and is in the process of auditing all affected members' claim history to ensure no fraud.

",2009-12-11,Unknown Date,2009,Other
25,Memorial Sloan-Kettering Cancer Center,NY,None,568,Theft,"E-mail, Other",2014-06-03,"The covered entity's (CE) staff member disclosed an unencrypted Microsoft Excel graph to a non-covered entity physician who re-disclosed it to a medical education organization to be used  in a presentation.  In addition, the medical education organization posted the presentation slides on its website.  The graph contained the protected health information (PHI) of 569 individuals and included names, telephone numbers, social security numbers, ages, cities and states of residence, medical record numbers, and clinical information.  Upon discovery of the breach, the CE ensured that the information was removed from the website and deleted, sanctioned the workforce member responsible, and retrained its workforce on the use of a data loss prevention tool and the risks of embedded PHI.  As a result of OCR's investigation, the CE provided OCR with evidence of its technical safeguards and security awareness initiatives and provided assurance that it implemented the corrective action listed above.",2009-08-13,2012-04-12,2009,Theft
26,"State of TN, Bureau of TennCare",TN,None,3900,Theft,Paper,2014-06-24,"The covered entity (CE) mailed the wrong information to 3,900 individuals based on a corrupted data file it received from a state agency.  The types of PHI involved were names, dates of birth, social security numbers, member identification numbers, and in some cases, diagnoses, treatments, conditions, and medications.  Following the breach, the CE immediately fixed the corrupted file and mailed corrected letters.  The CE provided breach notification to HHS, the media, and affected individuals and provided substitute notification by posting on its website.  It also offered affected individuals one year of free credit monitoring and comprehensive credit services.  The CE also worked with the state agency to implement a new procedure to improve safeguards for PHI.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2009-12-23,Unknown Date,2009,Theft
